filename,postgres_time_0,postgres_time_1,postgres_time_2
row_less_sep_row36_col8.csv,0.013048648834228516,0.012374401092529297,0.013064146041870117
row_extra_quote51_col7.csv,0.011974811553955078,0.013115644454956055,0.01173257827758789
row_less_sep_row48_col2.csv,0.013072013854980469,0.014667034149169922,0.010547637939453125
row_more_sep_row34_col2.csv,0.014745950698852539,0.011919498443603516,0.014758825302124023
row_extra_quote82_col7.csv,0.013671398162841797,0.013300657272338867,0.012249469757080078
row_more_sep_row57_col6.csv,0.01452946662902832,0.014741659164428711,0.012871503829956055
row_more_sep_row52_col0.csv,0.015506505966186523,0.012212514877319336,0.011606931686401367
row_extra_quote69_col5.csv,0.013795614242553711,0.01323843002319336,0.012585639953613281
row_less_sep_row10_col7.csv,0.014621496200561523,0.011936426162719727,0.011670827865600586
row_less_sep_row34_col3.csv,0.012664556503295898,0.012562751770019531,0.014650344848632812
row_extra_quote72_col3.csv,0.01206517219543457,0.012467145919799805,0.013776063919067383
row_extra_quote72_col4.csv,0.014070987701416016,0.012596607208251953,0.01211690902709961
row_more_sep_row8_col7.csv,0.011681795120239258,0.013381004333496094,0.012131214141845703
row_less_sep_row52_col4.csv,0.013290643692016602,0.012226581573486328,0.01267552375793457
row_more_sep_row6_col4.csv,0.014950037002563477,0.014842033386230469,0.012534618377685547
row_less_sep_row56_col4.csv,0.016654491424560547,0.013684749603271484,0.016077041625976562
row_more_sep_row55_col1.csv,0.019913673400878906,0.020450353622436523,0.01659250259399414
row_more_sep_row36_col8.csv,0.017948627471923828,0.020699262619018555,0.016230106353759766
row_more_sep_row63_col2.csv,0.01787281036376953,0.020449161529541016,0.022582054138183594
row_extra_quote53_col2.csv,0.025849103927612305,0.02599620819091797,0.01990342140197754
row_extra_quote32_col5.csv,0.013563156127929688,0.016007661819458008,0.013627052307128906
row_extra_quote75_col5.csv,0.016779661178588867,0.017130136489868164,0.01610875129699707
row_more_sep_row55_col4.csv,0.01569533348083496,0.017525434494018555,0.016789913177490234
row_more_sep_row2_col0.csv,0.014020442962646484,0.012397289276123047,0.012451887130737305
row_more_sep_row32_col5.csv,0.013778448104858398,0.013427972793579102,0.013004779815673828
row_less_sep_row45_col7.csv,0.013490438461303711,0.011950016021728516,0.012344598770141602
row_extra_quote10_col7.csv,0.013089656829833984,0.012475013732910156,0.016728639602661133
row_extra_quote27_col3.csv,0.015733957290649414,0.013239145278930664,0.011359930038452148
row_extra_quote66_col7.csv,0.014394044876098633,0.013536453247070312,0.011703729629516602
row_extra_quote51_col0.csv,0.013458013534545898,0.01732659339904785,0.011690616607666016
row_more_sep_row13_col1.csv,0.013738393783569336,0.012265443801879883,0.01381993293762207
row_more_sep_row71_col8.csv,0.015456199645996094,0.013598442077636719,0.013365983963012695
row_less_sep_row16_col5.csv,0.013698577880859375,0.013937234878540039,0.012589216232299805
row_more_sep_row9_col6.csv,0.014652729034423828,0.013232946395874023,0.012685775756835938
row_extra_quote66_col5.csv,0.014765739440917969,0.015267133712768555,0.012675285339355469
row_extra_quote63_col3.csv,0.012816667556762695,0.014388561248779297,0.013356685638427734
row_less_sep_row3_col7.csv,0.012691020965576172,0.011578798294067383,0.014129877090454102
