filename,mysql_time_0,mysql_time_1,mysql_time_2
row_extra_quote6_col8.csv,0.07813692092895508,0.08542656898498535,0.07794618606567383
row_more_sep_row2_col4.csv,0.10806441307067871,0.07435798645019531,0.07704019546508789
row_more_sep_row76_col5.csv,0.0916280746459961,0.08582830429077148,0.10224294662475586
row_extra_quote75_col8.csv,0.0930023193359375,0.07178854942321777,0.0760798454284668
row_extra_quote16_col6.csv,0.0747838020324707,0.08021044731140137,0.08409571647644043
row_less_sep_row25_col7.csv,0.10883474349975586,0.07924079895019531,0.08836507797241211
row_extra_quote3_col1.csv,0.08895707130432129,0.07606244087219238,0.07629823684692383
row_less_sep_row44_col6.csv,0.019751310348510742,0.07661247253417969,0.08314967155456543
row_more_sep_row8_col5.csv,0.0801844596862793,0.12180161476135254,0.07457613945007324
row_more_sep_row31_col8.csv,0.08201956748962402,0.08101987838745117,0.10663342475891113
row_more_sep_row5_col6.csv,0.10671067237854004,0.07843542098999023,0.08434700965881348
row_extra_quote59_col8.csv,0.08006620407104492,0.08099484443664551,0.08766293525695801
row_less_sep_row41_col6.csv,0.13041996955871582,0.09412121772766113,0.09940052032470703
row_extra_quote53_col8.csv,0.08871841430664062,0.09635496139526367,0.07092714309692383
row_more_sep_row3_col1.csv,0.10347723960876465,0.08307909965515137,0.08460068702697754
row_more_sep_row81_col1.csv,0.10289621353149414,0.07709932327270508,0.07713508605957031
row_extra_quote44_col7.csv,0.08800697326660156,0.07466793060302734,0.06527495384216309
row_extra_quote41_col5.csv,0.08104515075683594,0.09116363525390625,0.07406735420227051
row_more_sep_row74_col5.csv,0.09785008430480957,0.07805085182189941,0.08120489120483398
row_more_sep_row28_col0.csv,0.10747241973876953,0.1458902359008789,0.06943297386169434
row_more_sep_row47_col5.csv,0.08977794647216797,0.06796526908874512,0.06751799583435059
row_more_sep_row44_col4.csv,0.06483793258666992,0.0702214241027832,0.09810256958007812
row_more_sep_row51_col6.csv,0.10052967071533203,0.07563185691833496,0.07230257987976074
row_more_sep_row32_col1.csv,0.06531786918640137,0.07434511184692383,0.07418608665466309
row_extra_quote46_col3.csv,0.10122084617614746,0.07574844360351562,0.08525586128234863
row_extra_quote56_col2.csv,0.07562828063964844,0.07449173927307129,0.0735318660736084
row_more_sep_row30_col6.csv,0.06902074813842773,0.09645700454711914,0.07456684112548828
row_less_sep_row69_col4.csv,0.09172272682189941,0.07689023017883301,0.07259440422058105
row_extra_quote0_col0.csv,0.10080146789550781,0.07605862617492676,0.06503939628601074
row_more_sep_row30_col2.csv,0.10526347160339355,0.07928657531738281,0.0704798698425293
row_more_sep_row14_col8.csv,0.06739449501037598,0.07518434524536133,0.06804919242858887
row_less_sep_row54_col2.csv,0.10005974769592285,0.07206559181213379,0.09224677085876465
row_less_sep_row31_col5.csv,0.08550834655761719,0.07621908187866211,0.0692744255065918
row_extra_quote30_col0.csv,0.07460284233093262,0.0741884708404541,0.07260966300964355
row_more_sep_row60_col1.csv,0.06543111801147461,0.10670256614685059,0.0721273422241211
row_extra_quote10_col3.csv,0.07032942771911621,0.07269024848937988,0.07562065124511719
row_less_sep_row6_col5.csv,0.0756998062133789,0.07184386253356934,0.06626272201538086
row_less_sep_row39_col2.csv,0.11660003662109375,0.0936594009399414,0.06876134872436523
row_less_sep_row46_col8.csv,0.07145833969116211,0.06846737861633301,0.0982668399810791
row_extra_quote76_col5.csv,0.06604671478271484,0.10651421546936035,0.08012580871582031
row_extra_quote31_col8.csv,0.06891608238220215,0.09989404678344727,0.10787224769592285
row_extra_quote56_col8.csv,0.0716090202331543,0.07045865058898926,0.0679483413696289
row_less_sep_row48_col7.csv,0.08840489387512207,0.07468080520629883,0.07379150390625
row_more_sep_row8_col2.csv,0.06783556938171387,0.07162308692932129,0.07885456085205078
row_less_sep_row83_col8.csv,0.11215400695800781,0.11697030067443848,0.07344341278076172
row_more_sep_row68_col3.csv,0.060714006423950195,0.06649541854858398,0.09667372703552246
row_more_sep_row0_col7.csv,0.08655142784118652,0.0691993236541748,0.06777811050415039
row_less_sep_row79_col2.csv,0.09089970588684082,0.07639288902282715,0.08577752113342285
row_less_sep_row4_col7.csv,0.0728921890258789,0.10198974609375,0.10197806358337402
row_more_sep_row80_col1.csv,0.08245563507080078,0.07920217514038086,0.07870984077453613
row_less_sep_row13_col5.csv,0.07347488403320312,0.07261252403259277,0.06582927703857422
row_more_sep_row22_col3.csv,0.07813477516174316,0.0644221305847168,0.08074092864990234
row_less_sep_row58_col2.csv,0.07330465316772461,0.07955813407897949,0.078765869140625
row_more_sep_row43_col5.csv,0.06948113441467285,0.0892176628112793,0.08445477485656738
